season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_wins
2014-15,HOU,GSW,106.0,108.4,107.1,98.8,102.06,95.13,0
2014-15,CLE,ATL,106.6,102.2,102.8,102.9,91.47,94.15,1
2014-15,HOU,GSW,106.0,108.4,107.1,98.8,102.06,95.13,1
2014-15,CLE,ATL,106.6,102.2,102.8,102.9,91.47,94.15,1
2014-15,GSW,HOU,107.1,98.8,106.0,108.4,95.13,102.06,1
2014-15,GSW,CLE,107.1,98.8,106.6,102.2,95.13,91.47,1
2014-15,GSW,CLE,107.1,98.8,106.6,102.2,95.13,91.47,0
2014-15,CLE,GSW,106.6,102.2,107.1,98.8,91.47,95.13,1
2014-15,CLE,GSW,106.6,102.2,107.1,98.8,91.47,95.13,0
2014-15,GSW,CLE,107.1,98.8,106.6,102.2,95.13,91.47,1
2014-15,CLE,GSW,106.6,102.2,107.1,98.8,91.47,95.13,0
2015-16,ATL,BOS,103.2,104.0,94.3,101.2,96.1,97.72,1
2015-16,GSW,HOU,109.7,105.1,91.4,110.7,97.83,99.6,1
2015-16,OKC,DAL,111.3,105.8,101.7,120.4,95.61,92.6,1
2015-16,TOR,IND,101.7,106.4,103.8,101.9,90.39,90.43,0
2015-16,CLE,DET,114.6,105.2,109.2,119.3,91.4,86.88,1
2015-16,LAC,POR,102.6,101.9,106.3,108.5,95.67,98.03,1
2015-16,MIA,CHA,104.4,101.3,98.8,108.1,90.62,91.57,1
2015-16,SAS,MEM,109.8,100.5,89.3,113.2,92.65,90.88,1
2015-16,GSW,HOU,109.7,105.1,91.4,110.7,97.83,99.6,1
2015-16,OKC,DAL,111.3,105.8,101.7,120.4,95.61,92.6,0
2015-16,TOR,IND,101.7,106.4,103.8,101.9,90.39,90.43,1
2015-16,ATL,BOS,103.2,104.0,94.3,101.2,96.1,97.72,1
2015-16,SAS,MEM,109.8,100.5,89.3,113.2,92.65,90.88,1
2015-16,CLE,DET,114.6,105.2,109.2,119.3,91.4,86.88,1
